Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
public_order;Public Order;;;;;;;;;;;;;x
feudal_courts;Feudal Courts;;;;;;;;;;;;;x
feudal_courts_desc;Justice is in the hands of various aristocratic and ecclesiastical courts.;;;;;;;;;;;;;x
appointed_justices;Appointed Justices;;;;;;;;;;;;;x
appointed_justices_desc;Judges are appointed by the central government to regional courts.;;;;;;;;;;;;;x
unified_legal_code;Unified Legal Code;;;;;;;;;;;;;x
unified_legal_code_desc;There is a unified legal code for the entire polity.;;;;;;;;;;;;;x
land_reform_civ;Realty Law;;;;;;;;;;;;;x
feudal_tenure;Feudal Tenure;;;;;;;;;;;;;x
feudal_tenure_desc;Land is held in feudal terms, with rights for commons and noble privileges.;;;;;;;;;;;;;x
enclosure_of_commons;Enclosure of Commons;;;;;;;;;;;;;x
enclosure_of_commons_desc;The government has passed private acts enclosing upon commons.;;;;;;;;;;;;;x
private_landownership;Private Landownership;;;;;;;;;;;;;x
private_landownership_desc;Most land is held in private writs.;;;;;;;;;;;;;x
land_banking;Land Banking;;;;;;;;;;;;;x
land_banking_desc;The government has established various land banks for the allocation of land.;;;;;;;;;;;;;x
farm_cooperatives;Farming Cooperatives;;;;;;;;;;;;;x
farm_cooperatives_desc;Many lands are held as cooperatives.;;;;;;;;;;;;;x
collectivized_farming;Collectivized Farming;;;;;;;;;;;;;x
collectivized_farming_desc;Much land is held in large collectives.;;;;;;;;;;;;;x
banking_system;Banking System;;;;;;;;;;;;;x
unregulated_currency;Unregulated Currency;;;;;;;;;;;;;x
unregulated_currency_desc;The government makes little effort to restrict bills of exchange.;;;;;;;;;;;;;x
banking_licenses;Banking Licenses;;;;;;;;;;;;;x
banking_licenses_desc;All banks need a license to issue bills.;;;;;;;;;;;;;x
central_banking;Central Banking;;;;;;;;;;;;;x
central_banking_desc;There is an established central bank.;;;;;;;;;;;;;x
regulatory_institutions;Regulatory Institutions;;;;;;;;;;;;;x
regulatory_institutions_desc;There are various bodies dedicated to regulating currency flows.;;;;;;;;;;;;;x
school_system;School System;;;;;;;;;;;;;x
no_school_system;No School System;;;;;;;;;;;;;x
no_school_system_desc;There is no governmental school system.;;;;;;;;;;;;;x
parish_school_system;Parish School System;;;;;;;;;;;;;x
parish_school_system_desc;The government works with the clergy to provide schooling.;;;;;;;;;;;;;x
state_school_system;State School System;;;;;;;;;;;;;x
state_school_system_desc;There is a state school system.;;;;;;;;;;;;;x
thralldom;Thralldom;;;;;;;;;;;;;x
thralldom_allowed;Allowed;;;;;;;;;;;;;x
thralldom_allowed_desc;The pratice of keeping thralls is permitted.;;;;;;;;;;;;;x
thralldom_outlawed;Outlawed;;;;;;;;;;;;;x
thralldom_outlawed_desc;The pratice of keeping thralls is outlawed.;;;;;;;;;;;;;x
administrative_reform;Administration;;;;;;;;;;;;;x #Administrative Reform
aristocratic_bureaucracy;Aristocratic Bureaucracy;;;;;;;;;;;;;x
aristocratic_bureaucracy_desc;The country's executive machinery is squarely in the hands of local aristocrats and magnates: whether through hereditary sheriffs or starotsa, the regional executive remains deeply structurally entangled with hereditary social privilege.;;;;;;;;;;;;;x
proprietary_bureaucracy;Proprietary Bureaucracy;;;;;;;;;;;;;x
proprietary_bureaucracy_desc;The offices of the bureaucracy are bought and sold, and treated as hereditary property with government permission, sometimes with a small tax, often leading them to be the reserve of the local and loyal bourgeois.;;;;;;;;;;;;;x
appointed_bureaucrats;Appointed Bureaucrats;;;;;;;;;;;;;x
appointed_bureaucrats_desc;The main offices of the bureaucracy are appointed by the political party in charge of the central government, which, while vulnerable to patronage, allows for more professionalism.;;;;;;;;;;;;;x
professional_bureaucracy;Professional Bureaucracy;;;;;;;;;;;;;x
professional_bureaucracy_desc;The civil service is meritocratic and outcomes oriented.;;;;;;;;;;;;;x
legislative_system;Centralisation;;;;;;;;;;;;;x #Legislative System
tribal_assembly_i;Tribal Assembly;;;;;;;;;;;;;x
tribal_assembly_i_desc;The legislative assembly is composed of delegates chosen by hereditary tribal censi.;;;;;;;;;;;;;x
tribal_assembly;Decentralised;;;;;;;;;;;;;x
tribal_assembly_desc;This state is decentralised, and passing any further reforms here will reset that!;;;;;;;;;;;;;x
noble_parliament_i;Noble Parliament;;;;;;;;;;;;;x
noble_parliament_i_desc;All hereditary peers of the higher orders have a seat in the legislative assembly.;;;;;;;;;;;;;x
