Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
free_yoker_rebels_army;Freeman's Militia;;;;;;;;;;;;;x
absolutist_rebels_army;Protocivil Commissariat;;;;;;;;;;;;;x
theocratist_rebels_army;Freikorper Unit;;;;;;;;;;;;;x
reactionary_rebels_army;Civil Guard;;;;;;;;;;;;;x
free_yoker_rebels_title;Free Yoker;;;;;;;;;;;;;x
theocratist_rebels_title;Theocratist;;;;;;;;;;;;;x
absolutist_rebels_title;Absolutist;;;;;;;;;;;;;x
theocratist;Theocratist;;;;;;;;;;;;;x
barrel_factory;Two-Legger Factory;;;;;;;;;;;;;x
barrel_factory_desc;This factory produces "Two-Leggers", the moveable artillery landship of the late fourteenth century. It depends upon automobiles, steel, machine parts, and artilery for the production of these war machines. From artillery pieces installed upon automobile chasis, sheet metal is sculpted around this, to protect the engine and cabintower, as well as gunnery hold.;;;;;;;;;;;;;x
fabric_factory_desc;This factory turns the versatile spindleweed, a flaxen fiberous yeild of the seedpod of a certain plant, and various dyes, synthetic or natural pigments, into beautiful and pratical textiles. Automated looms, spindles, jennies, mules, press-vats, and other machines, powered by steam or combustion, and operated by wretched factory attendants, litter the shop floor. These textiles will be used for a number of things in the consumer and public sector.;;;;;;;;;;;;;x
barrels;Two Leggers;;;;;;;;;;;;;x
steel_factory;Steel Mill;;;;;;;;;;;;;x
fabric_factory;Textile Mill;;;;;;;;;;;;;x
steel_factory_desc;This factory complex is a steel mill, producing steel and iron products for private and public entities. It consists of large furnaces or crucibles for smelting pig iron, mills for rolling, casting pits as part of a foundry, as well as likely some specialised operations. Its workers work long hours in sweltering conditions, making the essential metalworks for consumer and military use.;;;;;;;;;;;;;x
colonial_conquest_low_KF;Establish Lowly Protectorate;;;;;;;;;;;;;x
colonial_conquest_low_KF_short;Annex $RECIPIENT$;;;;;;;;;;;;;x
colonial_conquest_low_KF_setup;Annex $RECIPIENT$ by establishing a protectorate over them.;;;;;;;;;;;;;x
colonial_conquest_low_KF_desc;Annex a single-state §Yuncivilized country§W with less than 400,000 pops by forcing them to become a protectorate of ours.;;;;;;;;;;;;;x
take_colonial_concession_capital_KF;Demand Capital;;;;;;;;;;;;;x
take_colonial_concession_capital_KF_short;Acquire $STATE$;;;;;;;;;;;;;x
take_colonial_concession_capital_KF_setup;Acquire $STATE$;;;;;;;;;;;;;x
take_colonial_concession_capital_KF_desc;Aquire a primitive enemy's §Ycapital state§W;;;;;;;;;;;;;x
international_sanctions;International Sanctions;;;;;;;;;;;;;x
take_colonial_concession_capital_EM;Demand Capital;;;;;;;;;;;;;x
take_colonial_concession_capital_EM_short;Acquire $STATE$;;;;;;;;;;;;;x
take_colonial_concession_capital_EM_setup;Acquire $STATE$;;;;;;;;;;;;;x
take_colonial_concession_capital_EM_desc;Aquire a primitive enemy's §Ycapital state§W;;;;;;;;;;;;;x
demand_concession_casus_belli_KF;Demand Concession;Demande de concession;Zugeständnisse verlangen;;Exigir concesión;;;;;;;;;x;;
demand_concession_casus_belli_KF_desc;Force an §Yuncivilized country§W to secede territory to form a colonial concession.;Obligez un §Ypays non civilisé§W ?faire sécession d'un territoire pour former une concession coloniale.;Zwingen Sie ein §Yunzivilisiertes Land§W, Gebiete zur Gründung einer Kolonie abzuspalten.;;Obliga a un §Ypaís incivilizado§W a escindir territorio para formar una concesión colonial.;;;;;;;;;x;;
demand_concession_casus_belli_KF_setup;Demand that $RECIPIENT$ secede territory to form a colonial concession.;Demandez ?ce que $RECIPIENT$ fasse sécession d'un territoire pour former une concession coloniale.;Verlangen Sie, dass $RECIPIENT$ Gebiete zur Gründung einer Kolonie abspaltet.;;Exigir que $RECIPIENT$ escinda territorio para formar una concesión colonial.;;;;;;;;;x;;
demand_concession_casus_belli_KF_short;Demand $STATE$;Demande $STATE$;Fordern Sie $STATE$;;Exigir $STATE$;;;;;;;;;x;;
demand_concession_casus_belli_EM;Demand Concession;Demande de concession;Zugeständnisse verlangen;;Exigir concesión;;;;;;;;;x;;
demand_concession_casus_belli_EM_desc;Force an §Yuncivilized country§W to secede territory to form a colonial concession.;Obligez un §Ypays non civilisé§W ?faire sécession d'un territoire pour former une concession coloniale.;Zwingen Sie ein §Yunzivilisiertes Land§W, Gebiete zur Gründung einer Kolonie abzuspalten.;;Obliga a un §Ypaís incivilizado§W a escindir territorio para formar una concesión colonial.;;;;;;;;;x;;
demand_concession_casus_belli_EM_setup;Demand that $RECIPIENT$ secede territory to form a colonial concession.;Demandez ?ce que $RECIPIENT$ fasse sécession d'un territoire pour former une concession coloniale.;Verlangen Sie, dass $RECIPIENT$ Gebiete zur Gründung einer Kolonie abspaltet.;;Exigir que $RECIPIENT$ escinda territorio para formar una concesión colonial.;;;;;;;;;x;;
demand_concession_casus_belli_EM_short;Demand $STATE$;Demande $STATE$;Fordern Sie $STATE$;;Exigir $STATE$;;;;;;;;;x;;
pruuntish_conquest;Pruuntish Integration;;;;;;;;;;;;;x
NORMAL_WAR_PRUUNTISH_CONQUEST_NAME;$ORDER$Integration of $SECOND_COUNTRY$;;;;;;;;;;;;;x
pruuntish_conquest_short;Annex $RECIPIENT$;;;;;;;;;;;;;x
pruuntish_conquest_setup;Annex $RECIPIENT$;;;;;;;;;;;;;x
pruuntish_conquest_desc;Annex a Pruuntish §Ycountry§W to establish controll of the peninsula.;;;;;;;;;;;;;x
swallow_me_whole;Establish Protectorate;;;;;;;;;;;;;x
swallow_me_whole_short;Annex $RECIPIENT$;;;;;;;;;;;;;x
swallow_me_whole_setup;Annex $RECIPIENT$ by establishing a protectorate over them.;;;;;;;;;;;;;x
swallow_me_whole_desc;Annex a single-state §Yuncivilized country§W by forcing them to become a protectorate of ours.;;;;;;;;;;;;;x
social_conscience;Egatism;;;;;;;;;;;;;x
social_conscience_desc;The liberationist impulse began to falter slowly after the achievement of the Worldly liberationist state after the shattering of the Athisard monarchy. Failing ultimately to deliver the promised paradise, the liberationist state quickly became a tyranny in its own right. Clumsy, violent, and despotic, the dictats from the central government failed to perfectly reflect and paternally guide the popular will. Amid speculation on improvement and reform, parallel to the growth of the statist ideology, briefly flourished the thought of the truly impressive Soora Egat-so. This radical pamphleteer, preacher, militant, and philosopher took the Liberationist ideology to a radical extreme: rather than a divine polity guided by the gods, and sanctioned by the will of man, Egat called for the repudiation of all political authority beyond the treaty between two sovereign individuals. In a collection of pamphlets known as the “Mystic Secrets” series (1316-7), Egat builds a cosmology based on the willing soul and the certainty of a world beyond, from which he develops an admirable contractualist political philosophy. Egat was killed in the hills near Sesi by forces of the Sublime Veyethan government defending a radical commune who repudiated the government’s authority.;;;;;;;;;;;;;x
collectivism;Syndicism;;;;;;;;;;;;;x
collectivism_desc;The principles of liberationist philosophy and government emphasize the cooperative enterprise, particularly the maintenance of the commons and the streets. Everyone had a responsibility to scare the birds, to cobble the streets, and small guilds and assemblies were usually used to maintain these institutions, rather than give way to the relentless pressure of industrial expansion. In the years of liberationist experimentation, there was the practical result of the arrival of a number of cooperativist dogmatists, who preached cooperativism as a basic political given and good, whether in the fields, the factory, the government, or the army. The views, ideas and actions of these syndics, guildists, cooperativsts are most exemplified in Rajug Duttûnnony’s “Study of the Organisation of Manufactuaries in the Southern Empire” (1320). The syndicate would become a critical institution in Absolutist theory of government.;;;;;;;;;;;;;x
social_justice;Antidevelopmentalism;;;;;;;;;;;;;x
social_justice_desc;A very popular political cause and much dogmatised position in the early fourteenth century was that of the Antidevelopmentalist. Hating the advent of the machines that came to remark the world and the countryside, that drove down wages, created great slums, and made the cruel burgher even richer, many of various political and social inclinations came to be sure of the need to chain the wheels of industry. In a popular melody, the “Bahdro Blower’s Lament”, the narrator tells of the tragic lives of the Bahdro glass blowers, who used to make much of the loamy, sandy soil and the need for the bottling of the Magoupt oils, but now cannot find a job due to glass produced in the furnaces of Rodhrot.;;;;;;;;;;;;;x
populism_vs._establishment;Modern Disciplinary Methods;;;;;;;;;;;;;x
populism_vs._establishment_desc;Born out of dint of necessity in managing a modern industrial civilisation and Statist speculation, the 1320s and 30s were filled with innovations for the management of people and societies, as well as innovations in the way states managed themselves. Particularly, in the school of disciplinary thought, traditional floggings, whippings, oubliettes, and hangings moved to a broader system of indefinite detentions, implicit blackmail, disappearances, and conspicuous yet sparse violence. An outgrowth of the authoritarian impulse, much of the innovation in this field came in the rationalization of these methods, and the application of them not only to the troublesome populace, but also the appendages of the state itself. The practical system of disciplinary reform by inspector Drid Tzau-Thruunt was highly influential. In his tenure of office as the Mreuvayk prefecture district inspector, 1324-9, he developed a broadly systematic approach to internal discipline the gendarmerie that prioritized an integrated system of incentives, cultivated collective identity, and humiliating punishments that bound officers to the state, and allowed for the easy social exclusion and then removal of troublesome men.;;;;;;;;;;;;;x
clericalism_vs._anticlericalism;Toleration and Suppression;;;;;;;;;;;;;x
